runDt,postingDate,refDocNo,vndrNo,fundName,fundGroupDescr,efundDesc,amount,wait,debt,bond,total,bankNm,pmntStts,batchNo,mophId,mophDesc,budgetSource
2025-12-23,25681223,ผลงานบริการ UCEP ภาครัฐ,0000010670,กองทุนผู้ป่วยใน,กองทุนค่าบริการทางการแพทย์,กองทุนผู้ป่วยใน CAP,314919.46,0,0,0,314919.46,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.202,ลูกหนี้ค่ารักษา UC-IP,UC
2025-12-23,25681223,ผลกระทบจากการปรับ DRGs,0000010670,กองทุนผู้ป่วยใน,กองทุนค่าบริการทางการแพทย์,กองทุนผู้ป่วยใน CAP,1989764.73,0,0,0,1989764.73,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.202,ลูกหนี้ค่ารักษา UC-IP,UC
2025-12-23,25681223,OP REFER 6810  (CUP_Model5),0000010670,กองทุนผู้ป่วยนอก,กองทุนค่าบริการทางการแพทย์,งบบริการผู้ป่วยนอกจ่ายแบบเหมาจ่ายต่อผู้มีสิทธิ,691436.83,0,702319.5,0,-10882.67,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,4301020105.214,รายได้กองทุน  UC -OP แบบเหมาจ่าย,UC
2025-12-23,25681223,6811_IP_01,0000010670,กองทุนผู้ป่วยใน,กองทุนค่าบริการทางการแพทย์,กองทุนผู้ป่วยใน CAP,68505358.36,0,0,0,68505358.36,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.202,ลูกหนี้ค่ารักษา UC-IP,UC
2025-12-23,25681223,6811_IP_01,0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,บริการกรณีเฉพาะ,14254460,0,0,0,14254460,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.216/222,ลูกหนี้ค่ารักษา UC-OP-บริการเฉพาะ CR/OP - REFER,UC
2025-12-23,25681223,6811_IP_01,0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,บริการกรณีเฉพาะ,1575838.01,0,0,0,1575838.01,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,4301020105.228,รายได้กองทุน UC- อื่น,UC
2025-12-23,25681223,6811_IP_01,0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,บริการกรณีเฉพาะ,196640.63,0,0,0,196640.63,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.222,ลูกหนี้ค่ารักษา OP - REFER,UC
2025-12-23,25681223,6809_IP_06(อุทธรณ์),0000010670,กองทุนผู้ป่วยใน,กองทุนค่าบริการทางการแพทย์,กองทุนผู้ป่วยใน CAP,12584895.29,0,0,0,12584895.29,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.202,ลูกหนี้ค่ารักษา UC-IP,UC
2025-12-23,25681223,6809_IP_06(อุทธรณ์ AUDIT),0000010670,กองทุนผู้ป่วยใน,กองทุนค่าบริการทางการแพทย์,กองทุนผู้ป่วยใน CAP,0,0,89950.49,0,-89950.49,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.202,ลูกหนี้ค่ารักษา UC-IP,UC
2025-12-23,25681223,6809_IP_06(อุทธรณ์ AUDIT),0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,ปกป้องได้รับบริการนอกเครือจ่ายกรณีจำเป็น,1880.42,0,0,0,1880.42,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.222,ลูกหนี้ค่ารักษา OP - REFER,UC
2025-12-23,25681223,6809_IP_05(อุทธรณ์)(ยกเลิก Rerun),0000010670,กองทุนไตวายเรื้อรัง,กองทุนไตวายเรื้อรัง,งบค่าบริการทดแทนไต,367740.33,0,0,0,367740.33,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.216/217,ลูกหนี้ค่ารักษา UC-OP/IP-บริการเฉพาะ CR,UC
2025-12-23,25681223,6809_IP_05(อุทธรณ์)(ยกเลิก Rerun),0000010670,กองทุนผู้ป่วยใน,กองทุนค่าบริการทางการแพทย์,กองทุนผู้ป่วยใน CAP,38101615.26,0,0,0,38101615.26,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.202,ลูกหนี้ค่ารักษา UC-IP,UC
2025-12-23,25681223,6809_IP_05(อุทธรณ์)(ยกเลิก Rerun),0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,PROVIDER FINANCIAL RISK PROTECTION,0,0,240090,0,-240090,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.222,ลูกหนี้ค่ารักษา OP - REFER,UC
2025-12-23,25681223,6809_IP_05(อุทธรณ์)(ยกเลิก Rerun),0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,กรณีจำเป็นต้องกำกับการใช้บริการอย่างใกล้ชิด,0,0,387,0,-387,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.222,ลูกหนี้ค่ารักษา OP - REFER,UC
2025-12-23,25681223,6809_IP_04(อุทธรณ์)(ยกเลิก Rerun),0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,บริการกรณีเฉพาะ,3300,0,0,0,3300,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.216/222,ลูกหนี้ค่ารักษา UC-OP-บริการเฉพาะ CR/OP - REFER,UC
2025-12-23,25681223,6809_IP_04(อุทธรณ์)(ยกเลิก Rerun),0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,เพิ่มความมั่นใจเรื่องคุณภาพบริการ,0,0,28313.86,0,-28313.86,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.222,ลูกหนี้ค่ารักษา OP - REFER,UC
2025-12-23,25681223,6809_IP_04(อุทธรณ์)(ยกเลิก Rerun),0000010670,กองทุนผู้ป่วยใน,กองทุนค่าบริการทางการแพทย์,กองทุนผู้ป่วยใน CAP,36975969.89,0,0,0,36975969.89,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.202,ลูกหนี้ค่ารักษา UC-IP,UC
2025-12-23,25681223,6809_IP_03(อุทธรณ์)(ยกเลิก Rerun),0000010670,กองทุนผู้ป่วยใน,กองทุนค่าบริการทางการแพทย์,กองทุนผู้ป่วยใน CAP,594721.76,0,0,0,594721.76,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.202,ลูกหนี้ค่ารักษา UC-IP,UC
2025-12-23,25681223,6809_IP_03(อุทธรณ์ AUDIT)(ยกเลิก Rerun),0000010670,กองทุนผู้ป่วยใน,กองทุนค่าบริการทางการแพทย์,กองทุนผู้ป่วยใน CAP,94738.74,0,0,0,94738.74,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.202,ลูกหนี้ค่ารักษา UC-IP,UC
2025-12-23,25681223,6809_IP_03(อุทธรณ์ AUDIT)(ยกเลิก Rerun),0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,ปกป้องได้รับบริการนอกเครือจ่ายกรณีจำเป็น,0,0,1880.42,0,-1880.42,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.222,ลูกหนี้ค่ารักษา OP - REFER,UC
2025-12-23,25681223,6809_IP_01(ยกเลิก Rerun),0000010670,กองทุนผู้ป่วยใน,กองทุนค่าบริการทางการแพทย์,กองทุนผู้ป่วยใน CAP,0,0,33467659.11,0,-33467659.11,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.202,ลูกหนี้ค่ารักษา UC-IP,UC
2025-12-23,25681223,6809_IP_01(ยกเลิก Rerun),0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,เพิ่มความมั่นใจเรื่องคุณภาพบริการ,0,0,1586261.83,0,-1586261.83,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.222,ลูกหนี้ค่ารักษา OP - REFER,UC
2025-12-23,25681223,6809_IP_01(ยกเลิก Rerun),0000010670,กองทุนไตวายเรื้อรัง,กองทุนไตวายเรื้อรัง,งบค่าบริการทดแทนไต,0,0,178047.13,0,-178047.13,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.216/217,ลูกหนี้ค่ารักษา UC-OP/IP-บริการเฉพาะ CR,UC
2025-12-23,25681223,6809_IP_01(ยกเลิก Rerun),0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,PROVIDER FINANCIAL RISK PROTECTION,0,0,8590680,0,-8590680,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.222,ลูกหนี้ค่ารักษา OP - REFER,UC
2025-12-23,25681223,6809_IP_01(ยกเลิก Rerun),0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,กรณีจำเป็นต้องกำกับการใช้บริการอย่างใกล้ชิด,0,0,8901,0,-8901,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.222,ลูกหนี้ค่ารักษา OP - REFER,UC
2025-12-23,25681223,6809_IP_01(ยกเลิก Rerun),0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,ปกป้องได้รับบริการนอกเครือจ่ายกรณีจำเป็น,0,0,55439.15,0,-55439.15,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.222,ลูกหนี้ค่ารักษา OP - REFER,UC
2025-12-23,25681223,6809_IP_01,0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,เพิ่มความมั่นใจเรื่องคุณภาพบริการ,1586261.83,0,0,0,1586261.83,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.222,ลูกหนี้ค่ารักษา OP - REFER,UC
2025-12-23,25681223,6809_IP_01,0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,กรณีจำเป็นต้องกำกับการใช้บริการอย่างใกล้ชิด,8901,0,0,0,8901,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.222,ลูกหนี้ค่ารักษา OP - REFER,UC
2025-12-23,25681223,6809_IP_01,0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,PROVIDER FINANCIAL RISK PROTECTION,8590820,0,0,0,8590820,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.222,ลูกหนี้ค่ารักษา OP - REFER,UC
2025-12-23,25681223,6809_IP_01,0000010670,กองทุนผู้ป่วยใน,กองทุนค่าบริการทางการแพทย์,กองทุนผู้ป่วยใน CAP,16071933.56,0,0,0,16071933.56,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.202,ลูกหนี้ค่ารักษา UC-IP,UC
2025-12-23,25681223,6809_IP_01,0000010670,กองทุนสร้างเสริมสุขภาพและป้องกันโรค,กองทุนสร้างเสริมสุขภาพและป้องกันโรค,บริการสร้างเสริมสุขภาพและป้องกันโรคสำหรับบริการพื้นฐาน (P&P BASIC SERVICE),25800,0,0,0,25800,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,4301020105.217,รายได้กองทุน UC - P&P แบบเหมาจ่ายต่อผู้มีสิทธิ,UC
2025-12-23,25681223,6809_IP_01,0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,ปกป้องได้รับบริการนอกเครือจ่ายกรณีจำเป็น,55439.15,0,0,0,55439.15,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.222,ลูกหนี้ค่ารักษา OP - REFER,UC
2025-12-23,25681223,6809_IP_01,0000010670,กองทุนไตวายเรื้อรัง,กองทุนไตวายเรื้อรัง,งบค่าบริการทดแทนไต,124362.72,0,0,0,124362.72,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.216/217,ลูกหนี้ค่ารักษา UC-OP/IP-บริการเฉพาะ CR,UC
2025-12-23,25681223,6808_IP_01(อุทธรณ์)(ยกเลิก Rerun),0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,เพิ่มความมั่นใจเรื่องคุณภาพบริการ,0,0,98000,0,-98000,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.222,ลูกหนี้ค่ารักษา OP - REFER,UC
2025-12-23,25681223,6808_IP_01(อุทธรณ์)(ยกเลิก Rerun),0000010670,กองทุนผู้ป่วยใน,กองทุนค่าบริการทางการแพทย์,กองทุนผู้ป่วยใน CAP,0,0,125000,0,-125000,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.202,ลูกหนี้ค่ารักษา UC-IP,UC
2025-12-23,25681223,6808_IP_01(ยกเลิก Rerun),0000010670,กองทุนผู้ป่วยใน,กองทุนค่าบริการทางการแพทย์,กองทุนผู้ป่วยใน CAP,0,0,50607277.76,0,-50607277.76,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.202,ลูกหนี้ค่ารักษา UC-IP,UC
2025-12-23,25681223,6808_IP_01(ยกเลิก Rerun),0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,PROVIDER FINANCIAL RISK PROTECTION,0,0,12603915,0,-12603915,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.222,ลูกหนี้ค่ารักษา OP - REFER,UC
2025-12-23,25681223,6808_IP_01(ยกเลิก Rerun),0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,เพิ่มความมั่นใจเรื่องคุณภาพบริการ,0,0,1472586.99,0,-1472586.99,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.222,ลูกหนี้ค่ารักษา OP - REFER,UC
2025-12-23,25681223,6808_IP_01(ยกเลิก Rerun),0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,ปกป้องได้รับบริการนอกเครือจ่ายกรณีจำเป็น,0,0,96268.84,0,-96268.84,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.222,ลูกหนี้ค่ารักษา OP - REFER,UC
2025-12-23,25681223,6808_IP_01(ยกเลิก Rerun),0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,กรณีจำเป็นต้องกำกับการใช้บริการอย่างใกล้ชิด,0,0,12150,0,-12150,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.222,ลูกหนี้ค่ารักษา OP - REFER,UC
2025-12-23,25681223,6808_IP_01(ยกเลิก Rerun),0000010670,กองทุนไตวายเรื้อรัง,กองทุนไตวายเรื้อรัง,งบค่าบริการทดแทนไต,0,0,379332.28,0,-379332.28,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.216/217,ลูกหนี้ค่ารักษา UC-OP/IP-บริการเฉพาะ CR,UC
2025-12-23,25681223,6808_IP_01,0000010670,กองทุนสร้างเสริมสุขภาพและป้องกันโรค,กองทุนสร้างเสริมสุขภาพและป้องกันโรค,บริการสร้างเสริมสุขภาพและป้องกันโรคสำหรับบริการพื้นฐาน (P&P BASIC SERVICE),60200,0,0,0,60200,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,4301020105.217,รายได้กองทุน UC - P&P แบบเหมาจ่ายต่อผู้มีสิทธิ,UC
2025-12-23,25681223,6808_IP_01,0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,กรณีจำเป็นต้องกำกับการใช้บริการอย่างใกล้ชิด,12150,0,0,0,12150,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.222,ลูกหนี้ค่ารักษา OP - REFER,UC
2025-12-23,25681223,6808_IP_01,0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,PROVIDER FINANCIAL RISK PROTECTION,12603915,0,0,0,12603915,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.222,ลูกหนี้ค่ารักษา OP - REFER,UC
2025-12-23,25681223,6808_IP_01,0000010670,กองทุนไตวายเรื้อรัง,กองทุนไตวายเรื้อรัง,งบค่าบริการทดแทนไต,263704.32,0,0,0,263704.32,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.216/217,ลูกหนี้ค่ารักษา UC-OP/IP-บริการเฉพาะ CR,UC
2025-12-23,25681223,6808_IP_01,0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,ปกป้องได้รับบริการนอกเครือจ่ายกรณีจำเป็น,96268.84,0,0,0,96268.84,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.222,ลูกหนี้ค่ารักษา OP - REFER,UC
2025-12-23,25681223,6808_IP_01,0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,เพิ่มความมั่นใจเรื่องคุณภาพบริการ,1472586.99,0,0,0,1472586.99,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.222,ลูกหนี้ค่ารักษา OP - REFER,UC
2025-12-23,25681223,6808_IP_01,0000010670,กองทุนผู้ป่วยใน,กองทุนค่าบริการทางการแพทย์,กองทุนผู้ป่วยใน CAP,21069316.46,0,0,0,21069316.46,ธนาคารกรุงไทย จำกัด (มหาชน),P,Y151,1102050101.202,ลูกหนี้ค่ารักษา UC-IP,UC
2025-12-23,25681223,6809_IP_05(อุทธรณ์)(ยกเลิก Rerun),0000010670,กองทุนผู้ป่วยใน,กองทุนค่าบริการทางการแพทย์,กองทุนผู้ป่วยใน CAP,38101615.26,38101615.26,0,0,0, ,W,3667B,1102050101.202,ลูกหนี้ค่ารักษา UC-IP,UC
2025-12-23,25681223,6809_IP_05(อุทธรณ์)(ยกเลิก Rerun),0000010670,กองทุนไตวายเรื้อรัง,กองทุนไตวายเรื้อรัง,งบค่าบริการทดแทนไต,367740.33,367740.33,0,0,0, ,W,3667B,1102050101.216/217,ลูกหนี้ค่ารักษา UC-OP/IP-บริการเฉพาะ CR,UC
2025-12-23,25681223,6809_IP_05(อุทธรณ์)(ยกเลิก Rerun),0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,PROVIDER FINANCIAL RISK PROTECTION,0,0,0,0,0, ,W,3667B,1102050101.222,ลูกหนี้ค่ารักษา OP - REFER,UC
2025-12-23,25681223,6809_IP_05(อุทธรณ์)(ยกเลิก Rerun),0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,กรณีจำเป็นต้องกำกับการใช้บริการอย่างใกล้ชิด,0,0,0,0,0, ,W,3667B,1102050101.222,ลูกหนี้ค่ารักษา OP - REFER,UC
2025-12-23,25681223,6809_IP_05(อุทธรณ์)(ยกเลิก Rerun),0000010670,กองทุนสร้างเสริมสุขภาพและป้องกันโรค,กองทุนสร้างเสริมสุขภาพและป้องกันโรค,บริการสร้างเสริมสุขภาพและป้องกันโรคสำหรับบริการพื้นฐาน (P&P BASIC SERVICE),10000,0,0,0,10000,ธนาคารกรุงไทย จำกัด (มหาชน),P,3667B,4301020105.223,รายได้กองทุน UC-P&P อื่น,UC
2025-12-23,25681223,6809_IP_04(อุทธรณ์)(ยกเลิก Rerun),0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,เพิ่มความมั่นใจเรื่องคุณภาพบริการ,0,0,0,0,0, ,W,3667B,1102050101.222,ลูกหนี้ค่ารักษา OP - REFER,UC
2025-12-23,25681223,6809_IP_04(อุทธรณ์)(ยกเลิก Rerun),0000010670,กองทุนสร้างเสริมสุขภาพและป้องกันโรค,กองทุนสร้างเสริมสุขภาพและป้องกันโรค,บริการสร้างเสริมสุขภาพและป้องกันโรคสำหรับบริการพื้นฐาน (P&P BASIC SERVICE),155000,0,0,0,155000,ธนาคารกรุงไทย จำกัด (มหาชน),P,3667B,4301020105.223,รายได้กองทุน UC-P&P อื่น,UC
2025-12-23,25681223,6809_IP_04(อุทธรณ์)(ยกเลิก Rerun),0000010670,กองทุนผู้ป่วยใน,กองทุนค่าบริการทางการแพทย์,กองทุนผู้ป่วยใน CAP,36975969.89,36975969.89,0,0,0, ,W,3667B,1102050101.202,ลูกหนี้ค่ารักษา UC-IP,UC
2025-12-23,25681223,6809_IP_04(อุทธรณ์)(ยกเลิก Rerun),0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,บริการกรณีเฉพาะ,3300,3300,0,0,0, ,W,3667B,1102050101.216/222,ลูกหนี้ค่ารักษา UC-OP-บริการเฉพาะ CR/OP - REFER,UC
2025-12-23,25681223,6809_IP_03(อุทธรณ์)(ยกเลิก Rerun),0000010670,กองทุนผู้ป่วยใน,กองทุนค่าบริการทางการแพทย์,กองทุนผู้ป่วยใน CAP,594721.76,594721.76,0,0,0, ,W,3667B,1102050101.202,ลูกหนี้ค่ารักษา UC-IP,UC
2025-12-23,25681223,6809_IP_03(อุทธรณ์)(ยกเลิก Rerun),0000010670,กองทุนสร้างเสริมสุขภาพและป้องกันโรค,กองทุนสร้างเสริมสุขภาพและป้องกันโรค,บริการสร้างเสริมสุขภาพและป้องกันโรคสำหรับบริการพื้นฐาน (P&P BASIC SERVICE),2500,0,0,0,2500,ธนาคารกรุงไทย จำกัด (มหาชน),P,3667B,4301020105.223,รายได้กองทุน UC-P&P อื่น,UC
2025-12-23,25681223,6809_IP_03(อุทธรณ์ AUDIT)(ยกเลิก Rerun),0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,ปกป้องได้รับบริการนอกเครือจ่ายกรณีจำเป็น,0,0,0,0,0, ,W,3667B,1102050101.222,ลูกหนี้ค่ารักษา OP - REFER,UC
2025-12-23,25681223,6809_IP_03(อุทธรณ์ AUDIT)(ยกเลิก Rerun),0000010670,กองทุนผู้ป่วยใน,กองทุนค่าบริการทางการแพทย์,กองทุนผู้ป่วยใน CAP,94738.74,94738.74,0,0,0, ,W,3667B,1102050101.202,ลูกหนี้ค่ารักษา UC-IP,UC
2025-12-23,25681223,6809_IP_01(ยกเลิก Rerun),0000010670,กองทุนผู้ป่วยใน,กองทุนค่าบริการทางการแพทย์,กองทุนผู้ป่วยใน CAP,0,0,0,0,0, ,W,3667B,1102050101.202,ลูกหนี้ค่ารักษา UC-IP,UC
2025-12-23,25681223,6809_IP_01(ยกเลิก Rerun),0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,PROVIDER FINANCIAL RISK PROTECTION,0,0,0,0,0, ,W,3667B,1102050101.222,ลูกหนี้ค่ารักษา OP - REFER,UC
2025-12-23,25681223,6809_IP_01(ยกเลิก Rerun),0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,กรณีจำเป็นต้องกำกับการใช้บริการอย่างใกล้ชิด,0,0,0,0,0, ,W,3667B,1102050101.222,ลูกหนี้ค่ารักษา OP - REFER,UC
2025-12-23,25681223,6809_IP_01(ยกเลิก Rerun),0000010670,กองทุน CENTRAL REIMBURSE,กองทุนค่าบริการทางการแพทย์,เพิ่มความมั่นใจเรื่องคุณภาพบริการ,0,0,0,0,0, ,W,3667B,1102050101.222,ลูกหนี้ค่ารักษา OP - REFER,UC
2025-12-23,25681223,6809_IP_01(ยกเลิก Rerun),0000010670,กองทุนไตวายเรื้อรัง,กองทุนไตวายเรื้อรัง,งบค่าบริการทดแทนไต,0,0,0,0,0, ,W,3667B,1102050101.216/217,ลูกหนี้ค่ารักษา UC-OP/IP-บริการเฉพาะ CR,UC
